umidade,inclinacao,distancia_agua,chuva,solo,operacao,historico,risco
46.217808319315374,19.26094938462863,112.09263014757329,8.446753153608228,misto,colheita,1,2
86.55000144869413,2.524198949851465,903.527377612771,13.92951695159793,argiloso,transporte,2,3
71.23957592679835,4.848861422838413,510.1998487233786,8.85052421383734,arenoso,colheita,2,0
61.90609389379256,26.956625655812378,828.1928914466642,4.43512668785278,misto,plantio,3,0
30.921304830970556,18.1928717897877,326.8491050203056,6.03179355503004,argiloso,plantio,4,1
30.919616423534187,0.27591154849888944,896.5679962112384,23.038938401636287,arenoso,transporte,0,0
24.06585285177396,3.044146285980963,395.3096619468215,10.316685920289625,argiloso,plantio,4,1
80.63233020424546,19.905053073241675,20.729274965495378,18.213493052403773,misto,plantio,4,3
62.078050822024615,0.1518475153865606,906.328156655071,25.170863542742843,arenoso,plantio,3,0
69.56508044572318,4.82424154252496,100.37381001827222,34.51974143146826,argiloso,colheita,0,2
21.440914600706172,16.462013680997583,326.12050121451074,1.9656069920549468,arenoso,colheita,3,1
87.8936896513396,20.756855930780798,950.5613473802969,39.97051994545213,argiloso,plantio,0,3
78.27098485602951,19.558837785078016,951.1010754681805,31.39501947454539,misto,transporte,1,0
34.863737747479334,6.728079283816793,577.7035092420532,4.087951597443595,misto,colheita,0,0
32.72774770449704,21.365376640426074,635.5188400481013,43.67893120533886,arenoso,transporte,3,0
32.83831568974037,7.117472624904002,453.96106675853656,46.04362002659066,argiloso,plantio,4,1
41.29695700716764,9.76199094477803,300.27866398108387,3.0538979927431873,arenoso,plantio,0,1
56.73295021425665,22.394742153540726,335.3778999162168,13.843882407360187,arenoso,colheita,0,1
50.2361513049481,19.48898697141644,675.7932715162681,40.31006398965307,argiloso,plantio,2,0
40.386039813862936,25.47670231482534,754.8507841433033,37.41298451918292,argiloso,colheita,4,0
62.829702630566565,19.7283867690103,793.66325328859,9.226050967818866,argiloso,plantio,1,0
29.76457024564293,17.049258100064147,791.7219613666083,10.467466166835514,misto,plantio,3,0
40.45012539746527,2.8102430348427743,100.29404201820347,18.5236051395691,arenoso,colheita,1,2
45.645329030558415,11.031474091783005,499.4761016555557,24.226149259551065,arenoso,colheita,4,1
51.92489889519251,7.9560710304517634,66.98317241647784,30.912738576514798,misto,colheita,0,2
74.96231729751095,7.319689301372508,554.0335935004982,18.445681978488622,argiloso,plantio,0,0
33.97716475108518,29.190316642573368,447.1151963596432,23.126735806657393,misto,plantio,4,1
55.996410688952814,11.792931740002812,888.8271409307167,37.37354690668783,misto,transporte,0,0
61.46901982034297,26.761396655313398,357.4058624265579,1.834160144529895,misto,colheita,0,1
23.25152889039984,18.934158779917887,125.8963462633298,12.621847217201038,arenoso,plantio,0,2
62.528139633100686,23.844339106249453,151.5617652323075,35.66747929422762,misto,plantio,3,2
31.936688658110405,15.079112793155764,763.8955254002975,44.76034188435997,arenoso,colheita,3,0
24.553611508969567,17.307116538790773,622.0358826830984,25.583872105783307,arenoso,transporte,2,0
86.42198760773333,14.775530814565917,110.11144936156234,26.605674263265783,arenoso,colheita,1,3
87.59424231521916,5.857289633941335,93.26573805384746,5.358600566988803,argiloso,transporte,4,3
