soil_moisture,pitch,roll,water_distance,precipitation_mm,soil_risk,pitch_risk,roll_risk,water_risk,precipitation_risk,sensor_operational_risk,operational_risk
36.04538569918389,-9.561217469877752,-1.6488829800978806,514.4252717631332,11.094349679008149,LOW,MEDIUM,LOW,LOW,LOW,MEDIUM,MEDIUM
82.70735246059037,-16.914503531038235,-3.0189699691869487,122.62324862905412,60.0,HIGH,CRITICAL,LOW,LOW,CRITICAL,CRITICAL,CRITICAL
53.55760812531774,2.5205951057114455,-7.506874922730947,423.8957625936653,14.059533531893456,MEDIUM,LOW,MEDIUM,LOW,LOW,HIGH,HIGH
45.73962497280334,3.0753587038755885,-2.432906029779037,415.3608129940142,9.383118093241846,LOW,LOW,LOW,LOW,LOW,LOW,LOW
16.6552606185577,-4.600688241257551,1.386544786263356,612.4445496015785,9.704729611771734,LOW,LOW,LOW,LOW,LOW,LOW,LOW
47.87366094291134,-5.097971529996091,1.5182012184489186,550.9243502932626,20.779788636849737,LOW,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,HIGH
92.28085101768127,-4.493976132958392,0.9715280526011001,0.0,11.21865464035588,CRITICAL,LOW,LOW,CRITICAL,LOW,CRITICAL,CRITICAL
65.13239463299809,-1.776329997430719,-9.911810136318197,107.38438921378872,5.100949390564287,MEDIUM,LOW,MEDIUM,LOW,LOW,HIGH,HIGH
37.9310438894622,2.2031509404670553,-0.7787066494319888,350.82819567748504,13.502639715113034,LOW,LOW,LOW,LOW,LOW,LOW,LOW
13.83282270215705,-1.2811912181465677,6.573512623218136,414.9166204584431,3.2488714099490705,LOW,LOW,MEDIUM,LOW,LOW,MEDIUM,MEDIUM
44.53194766591374,9.563064659070896,1.5083683749699044,332.0054396329574,1.2934847186293954,LOW,MEDIUM,LOW,LOW,LOW,MEDIUM,MEDIUM
66.21107083587219,8.866575564997339,0.2715702321224297,146.424349774768,6.863996329032647,MEDIUM,MEDIUM,LOW,LOW,LOW,HIGH,HIGH
57.27012373529373,2.7815201336636965,-0.9488081023746759,185.78574260826593,14.2112682624352,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM
37.23461140696178,-0.35236497611629314,8.679746352322171,93.73712536089386,0.864329433411828,LOW,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH
56.7538449719791,-1.1052785405057912,-3.264151581577087,389.1349836236084,5.528006500297694,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM
68.97807168144512,3.208513834472477,3.4488940475479084,95.0791299573238,2.3380827099017787,MEDIUM,LOW,LOW,MEDIUM,LOW,HIGH,HIGH
2.413820107718596,-3.8543337781201656,-4.619463918698333,507.2531303734154,7.150771689507941,LOW,LOW,LOW,LOW,LOW,LOW,LOW
20.76169818884291,1.1985907513493925,3.729739483818669,275.2819479865935,12.447194824332161,LOW,LOW,LOW,LOW,LOW,LOW,LOW
87.2198166670883,5.48017464468396,-6.5315113539614895,392.3572330590379,4.5249404036501755,CRITICAL,MEDIUM,MEDIUM,LOW,LOW,CRITICAL,CRITICAL
29.704570204367148,0.8254470853018028,5.8487837548705475,430.75443761261494,14.836948918958848,LOW,LOW,MEDIUM,LOW,LOW,MEDIUM,MEDIUM
41.444820449810585,1.0011812407321696,3.236464272967681,278.6937038112821,3.598475128586332,LOW,LOW,LOW,LOW,LOW,LOW,LOW
